,mins_after_created,has_location,photos,videos,animated_gifs,hashtags,user_mentions,text_len,verified,followers_count,is_quote_status,friends_count,favorite_count,retweet_count
0,1532,0,0,0,0,0,0,208,1,420442,1,1165,6180,1319
1,1667,0,1,0,0,0,0,179,1,57329,0,3482,4326,1218
2,500,0,0,0,0,0,1,155,1,161097,1,830,6581,1739
3,1667,0,0,0,0,0,0,200,1,15163366,0,6878,5117,2245
4,2599,0,0,1,0,0,0,331,1,1543607,1,397474,4142,963
5,1526,0,0,0,0,0,0,221,1,101955,0,5967,4352,1910
6,617,0,3,0,0,0,2,257,1,283638,0,4544,3301,847
7,1799,0,1,0,0,0,0,297,1,5798148,0,0,5944,734
8,2016,0,1,0,0,1,0,218,1,485157,0,6480,844,369
9,1274,0,1,0,0,0,1,162,1,283638,1,4544,4471,947
10,2212,0,0,0,0,0,0,282,1,1209209,0,957,6893,993
11,525,0,0,0,0,0,0,280,1,593051,0,5389,2108,932
12,1969,1,0,0,0,0,0,182,1,55548,0,4318,3932,889
13,1131,0,0,0,0,0,1,165,1,1231834,0,1547,2329,729
14,1567,1,0,0,0,0,0,229,1,152991,0,2902,5563,777
15,3062,0,0,0,0,0,0,279,1,245576,0,1799,6665,3086
16,3017,0,0,0,0,0,0,279,1,1207460,0,824,4164,1726
17,2907,0,0,0,0,1,0,217,1,291695,0,1899,5069,2468
18,2784,0,0,0,0,0,1,199,1,15163366,0,6878,899,614
19,2995,0,0,0,0,0,0,275,1,2273534,0,4846,3193,1083
20,2798,0,0,0,0,0,0,270,1,1207460,0,824,3393,1023
21,2974,0,0,0,0,0,0,68,1,430857,0,2705,3233,892
22,2808,1,0,0,0,0,0,221,1,1467124,0,110,2501,1275
23,2829,0,0,0,0,0,1,188,1,778894,0,7144,986,277
24,3049,0,0,0,0,0,0,249,1,44108,0,1371,2025,426
25,2878,0,0,0,0,0,0,100,1,20064619,0,261,1334,342
26,2619,0,0,0,0,0,0,310,1,2731574,1,316,1605,250
27,2917,0,0,0,0,0,0,249,1,421419,0,1526,820,299
28,2626,0,0,0,0,0,0,216,1,14928,0,4233,841,242
29,2649,0,0,1,0,0,0,275,1,16627534,0,503,2065,350
30,3227,1,0,0,0,0,0,149,1,1467124,0,110,5591,2025
31,3063,0,0,0,0,0,0,212,1,893421,0,578,2657,508
32,3079,0,0,0,0,1,0,278,1,1595538,0,163,1020,166
33,3178,1,0,0,0,0,0,118,1,95405,0,1272,2341,722
34,3211,0,0,0,0,0,1,222,1,16627534,0,503,7377,1185
35,3115,0,0,0,0,0,1,209,1,893421,0,578,1147,383
36,3249,0,0,0,0,0,0,256,1,320024,0,27062,9891,941
37,3178,0,1,0,0,0,1,304,1,862091,0,1166,1460,334
38,3165,0,0,0,0,0,1,180,1,7909,0,153,1636,294
39,3171,0,0,0,0,0,0,112,1,20064619,0,261,984,347
40,3181,0,0,0,0,0,0,280,1,15163366,0,6878,778,330
41,3186,1,0,0,0,0,0,135,1,1467124,0,110,3179,809
42,3084,0,0,0,0,1,0,276,1,52633,0,1450,403,157
43,3343,0,0,0,0,0,0,226,1,40531,0,2282,3571,670
44,3191,0,0,1,0,1,0,210,1,4129959,0,344,1364,442
45,10420,0,0,1,0,2,0,250,1,417613,0,2721,6216,3121
46,8668,1,0,0,0,0,0,274,1,2003067,0,2305,24402,6680
47,6258,1,0,0,0,0,0,249,1,1150440,0,533,5307,1658
48,10932,0,0,0,0,0,0,212,1,94467,0,151,7668,1849
49,9212,0,1,0,0,0,1,139,1,3434753,0,529,14855,1824
50,4711,0,0,0,0,0,0,287,1,161097,0,830,11575,1762
51,8958,0,0,0,0,0,0,149,1,579831,1,2729,5251,1885
52,4789,0,0,1,0,1,0,276,1,3738908,0,178,11943,4565
53,7282,0,4,0,0,0,0,295,1,161097,0,830,8123,1884
54,11443,0,0,0,0,0,0,144,1,135726,0,2099,9584,2084
55,10331,0,0,0,0,0,0,252,1,567014,0,766,13550,4711
56,6865,0,0,0,0,0,0,194,1,245576,0,1799,5259,3119
57,6746,0,0,0,0,0,0,278,1,292502,0,1887,8779,3121
58,9022,0,0,0,0,0,0,148,1,283638,0,4544,8858,2841
59,11469,0,0,0,0,0,0,303,1,376395,1,667,5643,877
60,11498,0,0,0,0,0,0,277,1,421419,0,1526,3956,2451
61,11756,0,0,0,0,0,0,274,1,2025235,1,6992,3354,1144
62,11943,0,0,0,0,0,0,308,1,4238719,1,2216,1062,564
63,12200,0,0,0,0,1,0,266,1,154517,0,357,2297,274
64,11568,0,0,0,0,0,0,270,1,385073,0,106504,3547,869
65,12144,0,0,0,0,0,0,287,1,261608,0,5833,3952,1428
66,11858,1,0,1,0,0,0,204,1,355143,0,1256,3287,827
67,11738,0,0,0,0,0,0,278,1,1207460,0,824,4027,1630
68,11527,0,0,0,0,0,1,277,1,740923,0,5919,5423,1843
69,11808,0,1,0,0,0,0,120,1,893421,0,578,7831,1024
70,11737,0,0,0,0,0,0,97,1,248414,0,8865,4175,1461
71,11896,0,4,0,0,1,0,303,1,94467,0,151,1020,462
72,11886,0,2,0,0,1,2,304,1,94467,0,151,933,452
73,12217,0,0,0,0,0,0,295,1,269117,1,1124,1438,579
74,12211,0,0,0,0,0,1,270,1,176591,1,2050,1368,280
75,12220,0,0,0,0,0,0,302,1,176591,1,2050,709,183
76,12227,1,0,0,0,0,0,102,1,263379,0,174,1415,267
