mins_after_created,has_location,photos,videos,animated_gifs,hashtags,user_mentions,text_len,verified,followers_count,is_quote_status,friends_count,interactions
686,0,0,0,0,0,0,263,1,217238,0,2998,10584
1793,0,1,0,0,0,0,301,1,1308186,0,280,5069
1295,0,0,0,0,0,0,275,1,372557,0,940,3594
907,0,0,0,0,0,0,156,1,329291,0,11564,6346
1476,0,0,0,0,0,0,96,1,684745,0,22053,7204
2320,0,0,0,0,0,0,267,1,1209995,0,824,7120
2260,0,0,0,0,0,0,178,1,1209995,0,824,1422
807,1,0,0,0,2,0,250,1,6926609,0,514,5021
1301,0,0,0,0,0,1,176,1,9038336,0,595,5218
1549,0,0,0,0,0,0,279,1,1209851,0,961,9607
699,0,0,0,0,0,2,173,1,564679,0,1697,5068
842,0,0,0,0,0,0,155,1,329291,0,11564,3810
1378,0,0,0,0,2,2,236,1,272388,0,849,7086
2188,0,0,0,0,0,1,257,1,21309,0,2454,1449
2323,1,0,0,0,0,0,131,1,1467068,0,110,2906
2470,0,0,0,0,0,0,218,1,1209995,0,824,9858
2569,0,0,0,0,0,1,183,1,103585,0,999,7042
2776,0,0,0,0,0,0,280,1,153119,0,1700,1527
2426,1,0,1,0,3,0,311,1,76831,0,1144,1011
2395,0,0,0,0,0,0,152,1,45544,1,2060,3468
2321,0,0,0,0,0,0,228,1,438187,1,1107,2487
2358,0,0,0,0,0,0,245,1,183737,0,1783,5897
2462,0,0,0,0,0,1,135,1,250543,0,8897,3810
2592,0,0,0,0,0,0,272,1,480362,0,1479,1202
2962,0,0,0,0,0,1,196,1,243913,0,3109,4928
2947,0,0,0,0,0,1,133,1,865923,0,1342,4319
2918,0,0,0,0,0,0,272,1,808128,0,55290,1204
3041,0,0,0,0,0,0,132,1,247579,0,1282,1547
2815,1,0,0,0,0,0,266,1,249089,0,750,2828
3187,0,0,0,0,0,0,172,1,1759486,0,5391,2406
3069,0,1,0,0,0,0,174,1,20073417,0,261,1997
3148,1,0,0,0,0,0,99,1,1467068,0,110,1534
3278,0,0,0,0,0,0,278,1,70302,0,4822,3006
3170,0,0,0,0,0,0,280,1,754557,0,1430,1498
3116,0,0,0,0,0,0,213,1,201450,0,4054,1690
3192,1,0,0,0,0,0,40,1,1467068,0,110,1357
3130,0,0,0,0,0,1,223,1,6926,0,134,857
3162,0,0,0,0,0,0,199,1,284993,0,1973,967
3258,1,0,0,0,0,0,276,1,95921,0,1290,2080
3048,1,0,0,0,0,0,143,1,948419,0,2488,998
3426,0,0,0,0,0,2,152,1,250543,0,8897,9950
3310,1,0,0,0,0,0,172,1,1618232,0,492,2722
3326,0,0,0,0,0,0,100,1,178719,0,1522,1028
3355,0,0,0,0,0,0,125,1,1179177,1,23462,7881
3432,0,0,0,0,0,0,94,1,705595,0,2960,2550
9219,1,0,0,0,0,0,132,1,1332640,0,862,15079
11152,0,0,0,0,0,1,155,1,162581,1,831,22903
6656,1,0,0,0,0,0,203,1,154126,0,522,16198
